"lesson","concept","skill","objective","before_templates","after_templates","before_dedicated","after_dedicated","before_quick","after_quick","after_reused","recognition","production","reasoning","authored","variants","generators","interaction","input","grading","activation","single_fixed","baseline_library_lessons"
"calculus-numerical-improper","calculus-numerical-improper-simpson-s-rule-and-error-control","compute","","8","8","0","0","0","0","8","0","8","0","0","0","0","low","math-text","structured","calculus-numerical-improper-simpson-s-rule-and-error-control","false","calculus-numerical-improper"
"calculus-numerical-improper","calculus-numerical-improper-simpson-s-rule-and-error-control","compute","calculus-numerical-improper-simpson-s-rule-and-error-control-compute-production","1","1","1","1","0","0","0","0","1","0","1","2","0","low","math-text","structured","calculus-numerical-improper-simpson-s-rule-and-error-control","false","calculus-numerical-improper"
"calculus-numerical-improper","calculus-numerical-improper-simpson-s-rule-and-error-control","justify","","1","1","0","0","0","0","1","0","0","1","0","0","0","high","handwriting;math-text;photo","open-reasoning","calculus-numerical-improper-simpson-s-rule-and-error-control","true","calculus-numerical-improper"
"calculus-numerical-improper","calculus-numerical-improper-simpson-s-rule-and-error-control","justify","calculus-numerical-improper-simpson-s-rule-and-error-control-justify-reasoning","1","1","1","1","0","0","0","0","0","1","0","0","0","medium","handwriting;math-text;photo","open-reasoning","calculus-numerical-improper-simpson-s-rule-and-error-control","true","calculus-numerical-improper"
"calculus-numerical-improper","calculus-numerical-improper-simpson-s-rule-and-error-control","prove","","1","1","0","0","0","0","1","0","0","1","0","0","0","high","handwriting;math-text;photo","open-reasoning","calculus-numerical-improper-simpson-s-rule-and-error-control","true","calculus-numerical-improper"
"calculus-power-series-taylor","calculus-power-series-taylor-power-series-and-convergence-intervals","compute","","5","5","0","0","0","0","5","0","5","0","0","0","0","low","math-text","structured","calculus-power-series-taylor-power-series-and-convergence-intervals","false","calculus-power-series-taylor"
"calculus-power-series-taylor","calculus-power-series-taylor-power-series-and-convergence-intervals","compute","calculus-power-series-taylor-power-series-and-convergence-intervals-compute-production","1","1","1","1","0","0","0","0","1","0","1","2","0","low","math-text","structured","calculus-power-series-taylor-power-series-and-convergence-intervals","false","calculus-power-series-taylor"
"calculus-power-series-taylor","calculus-power-series-taylor-power-series-and-convergence-intervals","interpret","","3","3","0","0","3","3","3","3","0","0","0","0","0","low","short-text","structured","calculus-power-series-taylor-power-series-and-convergence-intervals","false","calculus-power-series-taylor"
"calculus-power-series-taylor","calculus-power-series-taylor-power-series-and-convergence-intervals","justify","","2","2","0","0","0","0","2","0","0","2","0","0","0","high","handwriting;math-text;photo","open-reasoning","calculus-power-series-taylor-power-series-and-convergence-intervals","false","calculus-power-series-taylor"
"calculus-power-series-taylor","calculus-power-series-taylor-power-series-and-convergence-intervals","justify","calculus-power-series-taylor-power-series-and-convergence-intervals-justify-reasoning","1","1","1","1","0","0","0","0","0","1","0","0","0","medium","handwriting;math-text;photo","open-reasoning","calculus-power-series-taylor-power-series-and-convergence-intervals","true","calculus-power-series-taylor"
"calculus-power-series-taylor","calculus-power-series-taylor-power-series-and-convergence-intervals","recognize","","1","1","0","0","1","1","1","1","0","0","0","0","0","low","tap","choice","calculus-power-series-taylor-power-series-and-convergence-intervals","true","calculus-power-series-taylor"
"calculus-power-series-taylor","calculus-power-series-taylor-remainders-and-trustworthy-approximations","compute","","7","7","0","0","0","0","7","0","7","0","0","0","0","low","math-text","structured","calculus-power-series-taylor-remainders-and-trustworthy-approximations","false","calculus-power-series-taylor"
"calculus-power-series-taylor","calculus-power-series-taylor-remainders-and-trustworthy-approximations","compute","calculus-power-series-taylor-remainders-and-trustworthy-approximations-compute-production","1","1","1","1","0","0","0","0","1","0","1","2","0","low","math-text","structured","calculus-power-series-taylor-remainders-and-trustworthy-approximations","false","calculus-power-series-taylor"
"calculus-power-series-taylor","calculus-power-series-taylor-remainders-and-trustworthy-approximations","interpret","","1","1","0","0","1","1","1","1","0","0","0","0","0","low","short-text","structured","calculus-power-series-taylor-remainders-and-trustworthy-approximations","true","calculus-power-series-taylor"
"calculus-power-series-taylor","calculus-power-series-taylor-remainders-and-trustworthy-approximations","justify","","2","2","0","0","0","0","2","0","0","2","0","0","0","high","handwriting;math-text;photo","open-reasoning","calculus-power-series-taylor-remainders-and-trustworthy-approximations","false","calculus-power-series-taylor"
"calculus-power-series-taylor","calculus-power-series-taylor-remainders-and-trustworthy-approximations","justify","calculus-power-series-taylor-remainders-and-trustworthy-approximations-justify-reasoning","1","1","1","1","0","0","0","0","0","1","0","0","0","medium","handwriting;math-text;photo","open-reasoning","calculus-power-series-taylor-remainders-and-trustworthy-approximations","true","calculus-power-series-taylor"
"calculus-power-series-taylor","calculus-power-series-taylor-remainders-and-trustworthy-approximations","recognize","","1","1","0","0","1","1","1","1","0","0","0","0","0","low","tap","choice","calculus-power-series-taylor-remainders-and-trustworthy-approximations","true","calculus-power-series-taylor"
"calculus-power-series-taylor","calculus-power-series-taylor-standard-series-and-legal-operations","compute","","8","8","0","0","0","0","8","0","8","0","0","0","0","low","math-text","structured","calculus-power-series-taylor-standard-series-and-legal-operations","false","calculus-power-series-taylor"
"calculus-power-series-taylor","calculus-power-series-taylor-standard-series-and-legal-operations","compute","calculus-power-series-taylor-standard-series-and-legal-operations-compute-production","1","1","1","1","0","0","0","0","1","0","1","2","0","low","math-text","structured","calculus-power-series-taylor-standard-series-and-legal-operations","false","calculus-power-series-taylor"
"calculus-power-series-taylor","calculus-power-series-taylor-standard-series-and-legal-operations","justify","","1","1","0","0","0","0","1","0","0","1","0","0","0","high","handwriting;math-text;photo","open-reasoning","calculus-power-series-taylor-standard-series-and-legal-operations","true","calculus-power-series-taylor"
"calculus-power-series-taylor","calculus-power-series-taylor-standard-series-and-legal-operations","justify","calculus-power-series-taylor-standard-series-and-legal-operations-justify-reasoning","1","1","1","1","0","0","0","0","0","1","0","0","0","medium","handwriting;math-text;photo","open-reasoning","calculus-power-series-taylor-standard-series-and-legal-operations","true","calculus-power-series-taylor"
"calculus-power-series-taylor","calculus-power-series-taylor-standard-series-and-legal-operations","prove","","1","1","0","0","0","0","1","0","0","1","0","0","0","high","handwriting;math-text;photo","open-reasoning","calculus-power-series-taylor-standard-series-and-legal-operations","true","calculus-power-series-taylor"
"calculus-power-series-taylor","calculus-power-series-taylor-taylor-polynomials-from-matching-derivatives","compute","","8","8","0","0","0","0","8","0","8","0","0","0","0","low","math-text","structured","calculus-power-series-taylor-taylor-polynomials-from-matching-derivatives","false","calculus-power-series-taylor"
"calculus-power-series-taylor","calculus-power-series-taylor-taylor-polynomials-from-matching-derivatives","compute","calculus-power-series-taylor-taylor-polynomials-from-matching-derivatives-compute-production","1","1","1","1","0","0","0","0","1","0","1","3","0","low","math-text","structured","calculus-power-series-taylor-taylor-polynomials-from-matching-derivatives","false","calculus-power-series-taylor"
"calculus-power-series-taylor","calculus-power-series-taylor-taylor-polynomials-from-matching-derivatives","justify","","1","1","0","0","0","0","1","0","0","1","0","0","0","high","handwriting;math-text;photo","open-reasoning","calculus-power-series-taylor-taylor-polynomials-from-matching-derivatives","true","calculus-power-series-taylor"
"calculus-power-series-taylor","calculus-power-series-taylor-taylor-polynomials-from-matching-derivatives","prove","","1","1","0","0","0","0","1","0","0","1","0","0","0","high","handwriting;math-text;photo","open-reasoning","calculus-power-series-taylor-taylor-polynomials-from-matching-derivatives","true","calculus-power-series-taylor"
"calculus-power-series-taylor","calculus-power-series-taylor-using-series-for-limits-and-integrals","compute","","8","8","0","0","0","0","8","0","8","0","0","0","0","low","math-text","structured","calculus-power-series-taylor-using-series-for-limits-and-integrals","false","calculus-power-series-taylor"
"calculus-power-series-taylor","calculus-power-series-taylor-using-series-for-limits-and-integrals","compute","calculus-power-series-taylor-using-series-for-limits-and-integrals-compute-production","1","1","1","1","0","0","0","0","1","0","1","2","0","low","math-text","structured","calculus-power-series-taylor-using-series-for-limits-and-integrals","false","calculus-power-series-taylor"
"calculus-power-series-taylor","calculus-power-series-taylor-using-series-for-limits-and-integrals","justify","","2","2","0","0","0","0","2","0","0","2","0","0","0","high","handwriting;math-text;photo","open-reasoning","calculus-power-series-taylor-using-series-for-limits-and-integrals","false","calculus-power-series-taylor"
"calculus-power-series-taylor","calculus-power-series-taylor-using-series-for-limits-and-integrals","justify","calculus-power-series-taylor-using-series-for-limits-and-integrals-justify-reasoning","1","1","1","1","0","0","0","0","0","1","0","0","0","medium","handwriting;math-text;photo","open-reasoning","calculus-power-series-taylor-using-series-for-limits-and-integrals","true","calculus-power-series-taylor"
"calculus-related-rates-approximation","calculus-related-rates-approximation-circles-spheres-and-similar-shapes","compute","","8","8","0","0","0","0","8","0","8","0","0","0","0","low","math-text","structured","calculus-related-rates-approximation-circles-spheres-and-similar-shapes","false","calculus-related-rates-approximation"
"calculus-related-rates-approximation","calculus-related-rates-approximation-circles-spheres-and-similar-shapes","compute","calculus-related-rates-approximation-circles-spheres-and-similar-shapes-compute-production","1","1","1","1","0","0","0","0","1","0","1","3","0","low","math-text","structured","calculus-related-rates-approximation-circles-spheres-and-similar-shapes","false","calculus-related-rates-approximation"
"calculus-related-rates-approximation","calculus-related-rates-approximation-circles-spheres-and-similar-shapes","justify","","2","2","0","0","0","0","2","0","0","2","0","0","0","high","handwriting;math-text;photo","open-reasoning","calculus-related-rates-approximation-circles-spheres-and-similar-shapes","false","calculus-related-rates-approximation"
"calculus-related-rates-approximation","calculus-related-rates-approximation-differentials-measurement-error-and-sensitivity","compute","","7","7","0","0","0","0","7","0","7","0","0","0","0","low","math-text","structured","calculus-related-rates-approximation-differentials-measurement-error-and-sensitivity","false","calculus-related-rates-approximation"
"calculus-related-rates-approximation","calculus-related-rates-approximation-differentials-measurement-error-and-sensitivity","compute","calculus-related-rates-approximation-differentials-measurement-error-and-sensitivity-compute-production","1","1","1","1","0","0","0","0","1","0","1","3","0","low","math-text","structured","calculus-related-rates-approximation-differentials-measurement-error-and-sensitivity","false","calculus-related-rates-approximation"
"calculus-related-rates-approximation","calculus-related-rates-approximation-differentials-measurement-error-and-sensitivity","interpret","","1","1","0","0","1","1","1","1","0","0","0","0","0","low","tap","structured","calculus-related-rates-approximation-differentials-measurement-error-and-sensitivity","true","calculus-related-rates-approximation"
"calculus-related-rates-approximation","calculus-related-rates-approximation-differentials-measurement-error-and-sensitivity","justify","","2","2","0","0","0","0","2","0","0","2","0","0","0","high","handwriting;math-text;photo","open-reasoning","calculus-related-rates-approximation-differentials-measurement-error-and-sensitivity","false","calculus-related-rates-approximation"
"calculus-related-rates-approximation","calculus-related-rates-approximation-distances-angles-and-moving-constraints","compute","","8","8","0","0","0","0","8","0","8","0","0","0","0","low","math-text","structured","calculus-related-rates-approximation-distances-angles-and-moving-constraints","false","calculus-related-rates-approximation"
"calculus-related-rates-approximation","calculus-related-rates-approximation-distances-angles-and-moving-constraints","compute","calculus-related-rates-approximation-distances-angles-and-moving-constraints-compute-production","1","1","1","1","0","0","0","0","1","0","1","3","0","low","math-text","structured","calculus-related-rates-approximation-distances-angles-and-moving-constraints","false","calculus-related-rates-approximation"
"calculus-related-rates-approximation","calculus-related-rates-approximation-distances-angles-and-moving-constraints","justify","","1","1","0","0","0","0","1","0","0","1","0","0","0","high","handwriting;math-text;photo","open-reasoning","calculus-related-rates-approximation-distances-angles-and-moving-constraints","true","calculus-related-rates-approximation"
"calculus-related-rates-approximation","calculus-related-rates-approximation-distances-angles-and-moving-constraints","prove","","1","1","0","0","0","0","1","0","0","1","0","0","0","high","handwriting;math-text;photo","open-reasoning","calculus-related-rates-approximation-distances-angles-and-moving-constraints","true","calculus-related-rates-approximation"
"calculus-related-rates-approximation","calculus-related-rates-approximation-linear-approximation-from-a-tangent","compute","","8","8","0","0","0","0","8","0","8","0","0","0","0","low","math-text","structured","calculus-related-rates-approximation-linear-approximation-from-a-tangent","false","calculus-related-rates-approximation"
"calculus-related-rates-approximation","calculus-related-rates-approximation-linear-approximation-from-a-tangent","compute","calculus-related-rates-approximation-linear-approximation-from-a-tangent-compute-production","1","1","1","1","0","0","0","0","1","0","1","3","0","low","math-text","structured","calculus-related-rates-approximation-linear-approximation-from-a-tangent","false","calculus-related-rates-approximation"
"calculus-related-rates-approximation","calculus-related-rates-approximation-linear-approximation-from-a-tangent","justify","","2","2","0","0","0","0","2","0","0","2","0","0","0","high","handwriting;math-text;photo","open-reasoning","calculus-related-rates-approximation-linear-approximation-from-a-tangent","false","calculus-related-rates-approximation"
"calculus-related-rates-approximation","calculus-related-rates-approximation-linear-approximation-from-a-tangent","recognize","","1","1","0","0","1","1","1","1","0","0","0","0","0","low","tap","choice","calculus-related-rates-approximation-linear-approximation-from-a-tangent","true","calculus-related-rates-approximation"
"calculus-related-rates-approximation","calculus-related-rates-approximation-model-first-differentiate-second","compute","","8","8","0","0","0","0","8","0","8","0","0","0","0","low","math-text","structured","calculus-related-rates-approximation-model-first-differentiate-second","false","calculus-related-rates-approximation"
"calculus-related-rates-approximation","calculus-related-rates-approximation-model-first-differentiate-second","compute","calculus-related-rates-approximation-model-first-differentiate-second-compute-production","1","1","1","1","0","0","0","0","1","0","1","3","0","low","math-text","structured","calculus-related-rates-approximation-model-first-differentiate-second","false","calculus-related-rates-approximation"
"calculus-related-rates-approximation","calculus-related-rates-approximation-model-first-differentiate-second","justify","","2","2","0","0","0","0","2","0","0","2","0","0","0","high","handwriting;math-text;photo","open-reasoning","calculus-related-rates-approximation-model-first-differentiate-second","false","calculus-related-rates-approximation"
"calculus-related-rates-approximation","calculus-related-rates-approximation-model-first-differentiate-second","recognize","","1","1","0","0","1","1","1","1","0","0","0","0","0","low","tap","choice","calculus-related-rates-approximation-model-first-differentiate-second","true","calculus-related-rates-approximation"
"calculus-sequences-series","calculus-sequences-series-alternating-absolute-and-conditional-convergence","compute","","4","4","0","0","0","0","4","0","4","0","0","0","0","low","math-text","structured","calculus-sequences-series-alternating-absolute-and-conditional-convergence","false","calculus-sequences-series"
"calculus-sequences-series","calculus-sequences-series-alternating-absolute-and-conditional-convergence","compute","calculus-sequences-series-alternating-absolute-and-conditional-convergence-compute-production","1","1","1","1","0","0","0","0","1","0","0","0","0","low","math-text","structured","calculus-sequences-series-alternating-absolute-and-conditional-convergence","true","calculus-sequences-series"
"calculus-sequences-series","calculus-sequences-series-alternating-absolute-and-conditional-convergence","interpret","","5","5","0","0","4","4","5","5","0","0","0","0","0","high;low","handwriting;math-text;photo;short-text","open-reasoning;structured","calculus-sequences-series-alternating-absolute-and-conditional-convergence","false","calculus-sequences-series"
"calculus-sequences-series","calculus-sequences-series-alternating-absolute-and-conditional-convergence","interpret","calculus-sequences-series-alternating-absolute-and-conditional-convergence-interpret-recognition","1","1","1","1","1","1","0","1","0","0","0","0","0","low","short-text","structured","calculus-sequences-series-alternating-absolute-and-conditional-convergence","true","calculus-sequences-series"
"calculus-sequences-series","calculus-sequences-series-alternating-absolute-and-conditional-convergence","justify","","1","1","0","0","0","0","1","0","0","1","0","0","0","high","handwriting;math-text;photo","open-reasoning","calculus-sequences-series-alternating-absolute-and-conditional-convergence","true","calculus-sequences-series"
"calculus-sequences-series","calculus-sequences-series-alternating-absolute-and-conditional-convergence","justify","calculus-sequences-series-alternating-absolute-and-conditional-convergence-justify-reasoning","1","1","1","1","0","0","0","0","0","1","0","0","0","medium","handwriting;math-text;photo","open-reasoning","calculus-sequences-series-alternating-absolute-and-conditional-convergence","true","calculus-sequences-series"
"calculus-sequences-series","calculus-sequences-series-alternating-absolute-and-conditional-convergence","recognize","","1","1","0","0","1","1","1","1","0","0","0","0","0","low","tap","choice","calculus-sequences-series-alternating-absolute-and-conditional-convergence","true","calculus-sequences-series"
"calculus-sequences-series","calculus-sequences-series-direct-and-limit-comparison","compute","","2","2","0","0","0","0","2","0","2","0","0","0","0","low","math-text","structured","calculus-sequences-series-direct-and-limit-comparison","false","calculus-sequences-series"
"calculus-sequences-series","calculus-sequences-series-direct-and-limit-comparison","compute","calculus-sequences-series-direct-and-limit-comparison-compute-production","1","1","1","1","0","0","0","0","1","0","0","0","0","low","math-text","structured","calculus-sequences-series-direct-and-limit-comparison","true","calculus-sequences-series"
"calculus-sequences-series","calculus-sequences-series-direct-and-limit-comparison","construct","","1","1","0","0","0","0","1","0","1","0","0","0","0","high","handwriting;math-text;photo","open-reasoning","calculus-sequences-series-direct-and-limit-comparison","true","calculus-sequences-series"
"calculus-sequences-series","calculus-sequences-series-direct-and-limit-comparison","interpret","","6","6","0","0","6","6","6","6","0","0","0","0","0","low","short-text","structured","calculus-sequences-series-direct-and-limit-comparison","false","calculus-sequences-series"
"calculus-sequences-series","calculus-sequences-series-direct-and-limit-comparison","interpret","calculus-sequences-series-direct-and-limit-comparison-interpret-recognition","1","1","1","1","1","1","0","1","0","0","0","0","0","low","short-text","structured","calculus-sequences-series-direct-and-limit-comparison","true","calculus-sequences-series"
"calculus-sequences-series","calculus-sequences-series-direct-and-limit-comparison","justify","calculus-sequences-series-direct-and-limit-comparison-justify-reasoning","1","1","1","1","0","0","0","0","0","1","0","0","0","medium","handwriting;math-text;photo","open-reasoning","calculus-sequences-series-direct-and-limit-comparison","true","calculus-sequences-series"
"calculus-sequences-series","calculus-sequences-series-direct-and-limit-comparison","prove","","1","1","0","0","0","0","1","0","0","1","0","0","0","high","handwriting;math-text;photo","open-reasoning","calculus-sequences-series-direct-and-limit-comparison","true","calculus-sequences-series"
"calculus-sequences-series","calculus-sequences-series-partial-sums-geometric-series-and-telescoping","compute","","8","8","0","0","0","0","8","0","8","0","0","0","0","low","math-text","structured","calculus-sequences-series-partial-sums-geometric-series-and-telescoping","false","calculus-sequences-series"
"calculus-sequences-series","calculus-sequences-series-partial-sums-geometric-series-and-telescoping","compute","calculus-sequences-series-partial-sums-geometric-series-and-telescoping-compute-production","1","1","1","1","0","0","0","0","1","0","1","3","0","low","math-text","structured","calculus-sequences-series-partial-sums-geometric-series-and-telescoping","false","calculus-sequences-series"
"calculus-sequences-series","calculus-sequences-series-partial-sums-geometric-series-and-telescoping","justify","","1","1","0","0","0","0","1","0","0","1","0","0","0","high","handwriting;math-text;photo","open-reasoning","calculus-sequences-series-partial-sums-geometric-series-and-telescoping","true","calculus-sequences-series"
"calculus-sequences-series","calculus-sequences-series-partial-sums-geometric-series-and-telescoping","prove","","1","1","0","0","0","0","1","0","0","1","0","0","0","high","handwriting;math-text;photo","open-reasoning","calculus-sequences-series-partial-sums-geometric-series-and-telescoping","true","calculus-sequences-series"
"calculus-sequences-series","calculus-sequences-series-partial-sums-geometric-series-and-telescoping","recognize","","1","1","0","0","1","1","1","1","0","0","0","0","0","low","tap","choice","calculus-sequences-series-partial-sums-geometric-series-and-telescoping","true","calculus-sequences-series"
"calculus-sequences-series","calculus-sequences-series-ratio-and-root-tests-with-method-selection","compute","","4","4","0","0","0","0","4","0","4","0","0","0","0","low","math-text","structured","calculus-sequences-series-ratio-and-root-tests-with-method-selection","false","calculus-sequences-series"
"calculus-sequences-series","calculus-sequences-series-ratio-and-root-tests-with-method-selection","compute","calculus-sequences-series-ratio-and-root-tests-with-method-selection-compute-production","1","1","1","1","0","0","0","0","1","0","0","0","0","low","math-text","structured","calculus-sequences-series-ratio-and-root-tests-with-method-selection","true","calculus-sequences-series"
"calculus-sequences-series","calculus-sequences-series-ratio-and-root-tests-with-method-selection","interpret","","4","4","0","0","4","4","4","4","0","0","0","0","0","low","short-text","structured","calculus-sequences-series-ratio-and-root-tests-with-method-selection","false","calculus-sequences-series"
"calculus-sequences-series","calculus-sequences-series-ratio-and-root-tests-with-method-selection","interpret","calculus-sequences-series-ratio-and-root-tests-with-method-selection-interpret-recognition","1","1","1","1","1","1","0","1","0","0","0","0","0","low","short-text","structured","calculus-sequences-series-ratio-and-root-tests-with-method-selection","true","calculus-sequences-series"
"calculus-sequences-series","calculus-sequences-series-ratio-and-root-tests-with-method-selection","justify","","1","1","0","0","0","0","1","0","0","1","0","0","0","high","handwriting;math-text;photo","open-reasoning","calculus-sequences-series-ratio-and-root-tests-with-method-selection","true","calculus-sequences-series"
"calculus-sequences-series","calculus-sequences-series-ratio-and-root-tests-with-method-selection","justify","calculus-sequences-series-ratio-and-root-tests-with-method-selection-justify-reasoning","1","1","1","1","0","0","0","0","0","1","0","0","0","medium","handwriting;math-text;photo","open-reasoning","calculus-sequences-series-ratio-and-root-tests-with-method-selection","true","calculus-sequences-series"
"calculus-sequences-series","calculus-sequences-series-ratio-and-root-tests-with-method-selection","prove","","1","1","0","0","0","0","1","0","0","1","0","0","0","high","handwriting;math-text;photo","open-reasoning","calculus-sequences-series-ratio-and-root-tests-with-method-selection","true","calculus-sequences-series"
"calculus-sequences-series","calculus-sequences-series-sequences-and-limits","compute","","6","6","0","0","0","0","6","0","6","0","0","0","0","low","math-text","structured","calculus-sequences-series-sequences-and-limits","false","calculus-sequences-series"
"calculus-sequences-series","calculus-sequences-series-sequences-and-limits","compute","calculus-sequences-series-sequences-and-limits-compute-production","1","1","1","1","0","0","0","0","1","0","1","2","0","low","math-text","structured","calculus-sequences-series-sequences-and-limits","false","calculus-sequences-series"
"calculus-sequences-series","calculus-sequences-series-sequences-and-limits","construct","calculus-sequences-series-sequences-and-limits-construct-reasoning","1","1","1","1","0","0","0","0","0","1","0","0","0","medium","handwriting;math-text;photo","open-reasoning","calculus-sequences-series-sequences-and-limits","true","calculus-sequences-series"
"calculus-sequences-series","calculus-sequences-series-sequences-and-limits","interpret","","2","2","0","0","2","2","2","2","0","0","0","0","0","low","short-text","structured","calculus-sequences-series-sequences-and-limits","false","calculus-sequences-series"
"calculus-sequences-series","calculus-sequences-series-sequences-and-limits","prove","","2","2","0","0","0","0","2","0","0","2","0","0","0","high","handwriting;math-text;photo","open-reasoning","calculus-sequences-series-sequences-and-limits","false","calculus-sequences-series"
"calculus-sequences-series","calculus-sequences-series-the-term-test-and-integral-test","compute","","2","2","0","0","0","0","2","0","2","0","0","0","0","low","math-text","structured","calculus-sequences-series-the-term-test-and-integral-test","false","calculus-sequences-series"
"calculus-sequences-series","calculus-sequences-series-the-term-test-and-integral-test","compute","calculus-sequences-series-the-term-test-and-integral-test-compute-production","1","1","1","1","0","0","0","0","1","0","0","0","0","low","math-text","structured","calculus-sequences-series-the-term-test-and-integral-test","true","calculus-sequences-series"
"calculus-sequences-series","calculus-sequences-series-the-term-test-and-integral-test","interpret","","6","6","0","0","6","6","6","6","0","0","0","0","0","low","short-text","structured","calculus-sequences-series-the-term-test-and-integral-test","false","calculus-sequences-series"
"calculus-sequences-series","calculus-sequences-series-the-term-test-and-integral-test","interpret","calculus-sequences-series-the-term-test-and-integral-test-interpret-recognition","1","1","1","1","1","1","0","1","0","0","0","0","0","low","short-text","structured","calculus-sequences-series-the-term-test-and-integral-test","true","calculus-sequences-series"
"calculus-sequences-series","calculus-sequences-series-the-term-test-and-integral-test","justify","","1","1","0","0","0","0","1","0","0","1","0","0","0","high","handwriting;math-text;photo","open-reasoning","calculus-sequences-series-the-term-test-and-integral-test","true","calculus-sequences-series"
"calculus-sequences-series","calculus-sequences-series-the-term-test-and-integral-test","justify","calculus-sequences-series-the-term-test-and-integral-test-justify-reasoning","1","1","1","1","0","0","0","0","0","1","0","0","0","medium","handwriting;math-text;photo","open-reasoning","calculus-sequences-series-the-term-test-and-integral-test","true","calculus-sequences-series"
"calculus-sequences-series","calculus-sequences-series-the-term-test-and-integral-test","prove","","1","1","0","0","0","0","1","0","0","1","0","0","0","high","handwriting;math-text;photo","open-reasoning","calculus-sequences-series-the-term-test-and-integral-test","true","calculus-sequences-series"
"calculus-single-variable-optimization","calculus-single-variable-optimization-absolute-extrema-and-boundary-comparisons","compute","","7","7","0","0","0","0","7","0","7","0","0","0","0","low","math-text","structured","calculus-single-variable-optimization-absolute-extrema-and-boundary-comparisons","false","calculus-single-variable-optimization"
"calculus-single-variable-optimization","calculus-single-variable-optimization-absolute-extrema-and-boundary-comparisons","compute","calculus-single-variable-optimization-absolute-extrema-and-boundary-comparisons-compute-production","1","1","1","1","0","0","0","0","1","0","1","3","0","low","math-text","structured","calculus-single-variable-optimization-absolute-extrema-and-boundary-comparisons","false","calculus-single-variable-optimization"
"calculus-single-variable-optimization","calculus-single-variable-optimization-absolute-extrema-and-boundary-comparisons","interpret","","1","1","0","0","1","1","1","1","0","0","0","0","0","low","tap","structured","calculus-single-variable-optimization-absolute-extrema-and-boundary-comparisons","true","calculus-single-variable-optimization"
"calculus-single-variable-optimization","calculus-single-variable-optimization-absolute-extrema-and-boundary-comparisons","justify","","2","2","0","0","0","0","2","0","0","2","0","0","0","high","handwriting;math-text;photo","open-reasoning","calculus-single-variable-optimization-absolute-extrema-and-boundary-comparisons","false","calculus-single-variable-optimization"
"calculus-single-variable-optimization","calculus-single-variable-optimization-cost-distance-and-discrete-decisions","compute","","8","8","0","0","0","0","8","0","8","0","0","0","0","low","math-text","structured","calculus-single-variable-optimization-cost-distance-and-discrete-decisions","false","calculus-single-variable-optimization"
"calculus-single-variable-optimization","calculus-single-variable-optimization-cost-distance-and-discrete-decisions","compute","calculus-single-variable-optimization-cost-distance-and-discrete-decisions-compute-production","1","1","1","1","0","0","0","0","1","0","1","3","0","low","math-text","structured","calculus-single-variable-optimization-cost-distance-and-discrete-decisions","false","calculus-single-variable-optimization"
"calculus-single-variable-optimization","calculus-single-variable-optimization-cost-distance-and-discrete-decisions","justify","","2","2","0","0","0","0","2","0","0","2","0","0","0","high","handwriting;math-text;photo","open-reasoning","calculus-single-variable-optimization-cost-distance-and-discrete-decisions","false","calculus-single-variable-optimization"
"calculus-single-variable-optimization","calculus-single-variable-optimization-first-and-second-derivative-tests","compute","","2","2","0","0","0","0","2","0","2","0","0","0","0","low","math-text","structured","calculus-single-variable-optimization-first-and-second-derivative-tests","false","calculus-single-variable-optimization"
"calculus-single-variable-optimization","calculus-single-variable-optimization-first-and-second-derivative-tests","compute","calculus-single-variable-optimization-first-and-second-derivative-tests-compute-production","1","1","1","1","0","0","0","0","1","0","0","0","0","low","math-text","structured","calculus-single-variable-optimization-first-and-second-derivative-tests","true","calculus-single-variable-optimization"
"calculus-single-variable-optimization","calculus-single-variable-optimization-first-and-second-derivative-tests","construct","","1","1","0","0","0","0","1","0","1","0","0","0","0","high","handwriting;math-text;photo","open-reasoning","calculus-single-variable-optimization-first-and-second-derivative-tests","true","calculus-single-variable-optimization"
"calculus-single-variable-optimization","calculus-single-variable-optimization-first-and-second-derivative-tests","interpret","","6","6","0","0","6","6","6","6","0","0","0","0","0","low","short-text","structured","calculus-single-variable-optimization-first-and-second-derivative-tests","false","calculus-single-variable-optimization"
"calculus-single-variable-optimization","calculus-single-variable-optimization-first-and-second-derivative-tests","interpret","calculus-single-variable-optimization-first-and-second-derivative-tests-interpret-recognition","1","1","1","1","1","1","0","1","0","0","1","2","0","low","short-text","structured","calculus-single-variable-optimization-first-and-second-derivative-tests","false","calculus-single-variable-optimization"
"calculus-single-variable-optimization","calculus-single-variable-optimization-first-and-second-derivative-tests","justify","","1","1","0","0","0","0","1","0","0","1","0","0","0","high","handwriting;math-text;photo","open-reasoning","calculus-single-variable-optimization-first-and-second-derivative-tests","true","calculus-single-variable-optimization"
"calculus-single-variable-optimization","calculus-single-variable-optimization-first-and-second-derivative-tests","recognize","","1","1","0","0","1","1","1","1","0","0","0","0","0","low","tap","choice","calculus-single-variable-optimization-first-and-second-derivative-tests","true","calculus-single-variable-optimization"
"calculus-single-variable-optimization","calculus-single-variable-optimization-geometric-design-with-constraints","compute","","8","8","0","0","0","0","8","0","8","0","0","0","0","low","math-text","structured","calculus-single-variable-optimization-geometric-design-with-constraints","false","calculus-single-variable-optimization"
